INFO : 2018-01-29 23:54:09,243 : Searching files naming sales
DEBUG : 2018-01-29 23:54:25,187 : FOLDER::: d:/respaldo\xampp\htdocs\cepodo\tinymce\jscripts\tiny_mce\plugins\noneditable 
DEBUG : 2018-01-29 23:54:25,265 : FOLDER::: d:/respaldo\xampp\htdocs\cepodo_1\tinymce\jscripts\tiny_mce\plugins\noneditable 
DEBUG : 2018-01-29 23:54:25,327 : FOLDER::: d:/respaldo\xampp\htdocs\cepodo_2\tinymce\jscripts\tiny_mce\plugins\noneditable 
DEBUG : 2018-01-29 23:54:25,468 : FOLDER::: d:/respaldo\xampp\htdocs\tramibol\wp-content\plugins\facebook-twitter-google-plus-one-social-share-buttons-for-wordpress 
INFO : 2018-01-29 23:54:25,546 : Searching files with size 9968
DEBUG : 2018-01-29 23:54:33,580 : FILE::: d:/MisDocs\Blocs de notas de OneNote\OneNote\Copia de seguridad\14.0\Copia de seguridad\Dailys or Tasks\sales-7557.one (El 21-03-2017).one  ::::: SIZE::::: 9968
DEBUG : 2018-01-29 23:54:33,580 : FILE::: d:/MisDocs\Blocs de notas de OneNote\OneNote\Copia de seguridad\14.0\Copia de seguridad\Fundacion\sales-7557.one (El 19-02-2017).one  ::::: SIZE::::: 9968
DEBUG : 2018-01-29 23:54:39,102 : FILE::: d:/MisDocs\Virtual Machines\RFALCONIH-DV02\caches\GuestAppsCache\appData\9c4d713e22689de7523e05efb2ca1150.appicon  ::::: SIZE::::: 9968
INFO : 2018-01-29 23:55:43,381 : Searching files naming sales
DEBUG : 2018-01-29 23:55:46,556 : FILE::: d:/mio\www\mixtica\wp-content\themes\mixtica\page-templates\tpl_sucursales.php  
DEBUG : 2018-01-29 23:55:47,681 : FILE::: d:/mio\www\rac\app\design\adminhtml\default\default\layout\sales.xml  
DEBUG : 2018-01-29 23:55:47,713 : FILE::: d:/mio\www\rac\app\design\adminhtml\default\default\template\customer\tab\view\sales.phtml  
DEBUG : 2018-01-29 23:55:47,744 : FILE::: d:/mio\www\rac\app\design\adminhtml\default\default\template\promo\salesrulejs.phtml  
DEBUG : 2018-01-29 23:55:47,791 : FILE::: d:/mio\www\rac\app\design\frontend\base\default\layout\sales.xml  
DEBUG : 2018-01-29 23:55:47,869 : FILE::: d:/mio\www\rac\app\design\frontend\default\iphone\layout\sales.xml  
DEBUG : 2018-01-29 23:55:47,900 : FILE::: d:/mio\www\rac\app\design\frontend\default\modern\layout\sales.xml  
DEBUG : 2018-01-29 23:55:48,059 : FILE::: d:/mio\www\rac\js\mage\adminhtml\sales.js  
DEBUG : 2018-01-29 23:55:49,108 : FILE::: d:/MisDocs\Blocs de notas de OneNote\OneNote\Copia de seguridad\14.0\Copia de seguridad\Dailys or Tasks\sales-7232.one (El 21-03-2017).one  
DEBUG : 2018-01-29 23:55:49,108 : FILE::: d:/MisDocs\Blocs de notas de OneNote\OneNote\Copia de seguridad\14.0\Copia de seguridad\Dailys or Tasks\sales-7398.one (El 28-02-2017).one  
